impactCategory.name,,,,Acidification,Eutrophication,Freshwater ecotoxicity,Global warming,Human health - cancer,Human health - non-cancer,Human health - particulate matter,Ozone depletion,Smog formation
impactCategory.refUnit,,,,kg SO2 eq,kg N eq,CTUeco,kg CO2 eq,CTUcancer,CTUnoncancer,PM 2.5 eq,kg CFC-11 eq,kg O3 eq
category,process,flow,unit,,,,,,,,,
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Corn stover, production, average, US, 2022 - RNA","Corn stover, production",kg,0.001922,0.00027919,0.032469,0.047591,7.7079e-11,1.3036e-08,6.8398e-05,1.2455e-11,0.00040381
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Corn, decomposition, 15.5% moisture - RNA","Corn, decomposition",kg,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Corn, production, average, US, 2022 - RNA","Corn, production",kg,0.00030968,0.00016037,1.7872,0.072707,4.1768e-10,5.6949e-08,1.3497e-05,3.8609e-10,0.0019786
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Corn, whole plant, at field - RNA","Corn, at field",kg,0.0047604,0.0033107,1.8398,0.28623,1.084e-09,1.8054e-07,0.00011309,4.9861e-10,0.087965
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Crude palm kernel oil, at plant - RNA","Crude palm kernel oil, at plant",kg,0.0095016,0.0021217,7.3586,4.4308,6.6774e-07,2.9976e-06,0.00014516,4.4387e-07,0.25221
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Palm kernels, at plant - RNA","Palm kernels, at plant",kg,0.0067506,0.0017903,0.085141,3.8757,6.1285e-07,1.1479e-07,5.6457e-05,4.1426e-07,0.17535
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Rapeseed, whole plant, at field - US","Rapeseed, at field",kg,0.030252,0.019128,1.3778,2.103,9.282e-10,1.4445e-07,0.0006801,5.1716e-10,0.56984
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Rice, at field - RNA","Rice grain, at field",kg,0.0078021,0.0042461,11.685,1.6017,3.0806e-09,5.5566e-07,0.00016318,9.1337e-10,0.17669
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Soybean grains, at field - RNA","Soybean grains, at field",kg,0.0015158,0.0010941,2.098,0.31754,1.9814e-09,3.4946e-07,4.1853e-05,1.2117e-09,0.033763
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Wheat, at field - US","Wheat grains, at field",kg,0.0075603,0.0057115,0.64918,0.40252,5.364e-10,8.2753e-08,0.00017327,3.7207e-10,0.14467
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Winter wheat straw, production, average, US, 2022 - RNA","Winter wheat straw, production",kg,0.00096863,0.00016316,0.017046,0.025646,4.1357e-11,6.8728e-09,3.4506e-05,7.0199e-12,0.00025945
"11: Agriculture, Forestry, Fishing and Hunting/1112: Vegetable and Melon Farming","Potato, whole plant, at field - US","Potato, at field",kg,0.001681,0.0015752,6.1756,0.10847,2.0998e-10,3.1959e-08,4.0335e-05,1.3779e-10,0.03145
"11: Agriculture, Forestry, Fishing and Hunting/1119: Other Crop Farming","Cotton, whole plant, at field - RNA","Cotton, at field",kg,0.039232,0.025785,35.696,3.1325,1.9299e-08,2.9395e-06,0.00085899,5.653e-09,0.83715
"11: Agriculture, Forestry, Fishing and Hunting/1119: Other Crop Farming","Switchgrass, production, US, 2022 - RNA","Switchgrass, production",kg,0.0018964,0.00011993,0.023463,0.043712,3.6907e-11,6.8701e-09,6.7167e-05,6.8102e-12,0.00022527
"11: Agriculture, Forestry, Fishing and Hunting/1132: Forest Nurseries and Gathering of Forest Products","Forest residue, dried, stored - RNA","Forest residue, dried, stored",kg,0.00010977,1.1824e-05,0.0044911,0.013921,5.5063e-11,1.4698e-09,3.7633e-06,1.9066e-09,0.0034361
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Bark, hardwood, average, at forest road,  NE-NC - US",Bark; hardwood; average; at forest road,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Bark, softwood, average, at forest road, INW - US",Bark; softwood; average; at forest road,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Bark, softwood, average, at forest road, NE-NC - US",Bark; softwood; average; at forest road,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Bark, softwood, average, state or private dry forest, at forest road, INW - US",Bark; softwood; average; state or private dry forest; at forest road,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Bark, softwood, average, state or private moist cold forest, at forest road, INW - US",Bark; softwood; average; state or private moist cold forest; at forest road,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Bark, softwood, national forest, average, at forest road, INW - US",Bark; softwood; national forest; average; at forest road,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Chainsawing, hand felling and delimbing, INW - US",Chainsawing; hand felling and delimbing,h,0.029218,0.0029428,1.7818,2.5946,4.2268e-09,7.032e-07,0.00035182,5.6487e-09,1.0287
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Forest residue, processed and loaded, at landing system - RNA","Forest residue, processed and loaded, at landing system",kg,8.8949e-05,8.5868e-06,0.001922,0.0089514,4.2413e-11,5.0144e-10,2.9956e-06,1.615e-09,0.002768
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Pulpwood, hardwood, average, at forest road, NE-NC - US",Pulpwood; hardwood; average; at forest road,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
