impactCategory.name,,,,Acidification,Eutrophication,Freshwater ecotoxicity,Global warming,Human health - cancer,Human health - non-cancer,Human health - particulate matter,Ozone depletion,Smog formation
impactCategory.refUnit,,,,kg SO2 eq,kg N eq,CTUeco,kg CO2 eq,CTUcancer,CTUnoncancer,PM 2.5 eq,kg CFC-11 eq,kg O3 eq
category,process,flow,unit,,,,,,,,,
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Corn stover, production, average, US, 2022 - RNA","Corn stover, production",kg,0.0019224,0.00027917,0.034027,0.047726,7.89e-11,1.3509e-08,6.8453e-05,1.2206e-11,0.00040933
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Corn, decomposition, 15.5% moisture - RNA","Corn, decomposition",kg,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Corn, production, average, US, 2022 - RNA","Corn, production",kg,0.0003112,0.00016027,1.7944,0.073216,4.2666e-10,5.92e-08,1.3735e-05,3.8519e-10,0.0020009
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Corn, whole plant, at field - RNA","Corn, at field",kg,0.0047655,0.0033104,1.8631,0.288,1.1123e-09,1.8772e-07,0.00011387,4.9542e-10,0.08804
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Crude palm kernel oil, at plant - RNA","Crude palm kernel oil, at plant",kg,0.0095826,0.0021154,7.8368,4.4489,6.6839e-07,3.1517e-06,0.0001587,4.4384e-07,0.25323
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Palm kernels, at plant - RNA","Palm kernels, at plant",kg,0.0067481,0.0017898,0.14144,3.8684,6.1296e-07,1.365e-07,5.6728e-05,4.1428e-07,0.1752
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Rapeseed, whole plant, at field - US","Rapeseed, at field",kg,0.030256,0.019128,1.398,2.1039,9.5524e-10,1.5091e-07,0.00068069,5.1577e-10,0.56989
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Rice, at field - RNA","Rice grain, at field",kg,0.0078183,0.004245,11.759,1.6075,3.1703e-09,5.7848e-07,0.00016569,9.0294e-10,0.17693
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Soybean grains, at field - RNA","Soybean grains, at field",kg,0.0015258,0.0010934,2.1437,0.32098,2.037e-09,3.6355e-07,4.3388e-05,1.2054e-09,0.03391
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Wheat, at field - US","Wheat grains, at field",kg,0.0075623,0.0057114,0.6599,0.40308,5.5046e-10,8.6152e-08,0.0001736,3.7117e-10,0.1447
"11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming","Winter wheat straw, production, average, US, 2022 - RNA","Winter wheat straw, production",kg,0.00096882,0.00016315,0.017852,0.025716,4.23e-11,7.1176e-09,3.4534e-05,6.8924e-12,0.0002623
"11: Agriculture, Forestry, Fishing and Hunting/1112: Vegetable and Melon Farming","Potato, whole plant, at field - US","Potato, at field",kg,0.0016817,0.0015752,6.1792,0.10868,2.1471e-10,3.3114e-08,4.0449e-05,1.3744e-10,0.03146
"11: Agriculture, Forestry, Fishing and Hunting/1119: Other Crop Farming","Cotton, whole plant, at field - RNA","Cotton, at field",kg,0.039317,0.02578,36.08,3.1621,1.9764e-08,3.0579e-06,0.00087199,5.5994e-09,0.8384
"11: Agriculture, Forestry, Fishing and Hunting/1119: Other Crop Farming","Switchgrass, production, US, 2022 - RNA","Switchgrass, production",kg,0.0018966,0.00011992,0.024341,0.043788,3.7934e-11,7.1369e-09,6.7198e-05,6.6695e-12,0.00022839
"11: Agriculture, Forestry, Fishing and Hunting/1132: Forest Nurseries and Gathering of Forest Products","Forest residue, dried, stored - RNA","Forest residue, dried, stored",kg,0.0001098,1.1829e-05,0.004678,0.013925,5.5351e-11,1.533e-09,3.7678e-06,1.9066e-09,0.0034365
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Bark, hardwood, average, at forest road,  NE-NC - US",Bark; hardwood; average; at forest road,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Bark, softwood, average, at forest road, INW - US",Bark; softwood; average; at forest road,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Bark, softwood, average, at forest road, NE-NC - US",Bark; softwood; average; at forest road,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Bark, softwood, average, state or private dry forest, at forest road, INW - US",Bark; softwood; average; state or private dry forest; at forest road,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Bark, softwood, average, state or private moist cold forest, at forest road, INW - US",Bark; softwood; average; state or private moist cold forest; at forest road,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Bark, softwood, national forest, average, at forest road, INW - US",Bark; softwood; national forest; average; at forest road,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Chainsawing, hand felling and delimbing, INW - US",Chainsawing; hand felling and delimbing,h,0.029236,0.002941,1.9224,2.5953,4.4376e-09,7.5026e-07,0.00035515,5.6501e-09,1.0288
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Forest residue, processed and loaded, at landing system - RNA","Forest residue, processed and loaded, at landing system",kg,8.8949e-05,8.5868e-06,0.001922,0.0089514,4.2413e-11,5.0144e-10,2.9956e-06,1.615e-09,0.002768
"11: Agriculture, Forestry, Fishing and Hunting/1133: Logging","Pulpwood, hardwood, average, at forest road, NE-NC - US",Pulpwood; hardwood; average; at forest road,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
